npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  6/19/2026 1:27:08 AM ::1 GET /
 HTTP  6/19/2026 1:27:08 AM ::1 Returned 200 in 339 ms
 HTTP  6/19/2026 1:27:08 AM ::1 GET /css/styles.css
 HTTP  6/19/2026 1:27:08 AM ::1 Returned 200 in 3 ms
 HTTP  6/19/2026 1:27:14 AM ::1 GET /topics/future-of-fintech.html
 HTTP  6/19/2026 1:27:14 AM ::1 Returned 301 in 1 ms
 HTTP  6/19/2026 1:27:14 AM ::1 GET /topics/future-of-fintech
 HTTP  6/19/2026 1:27:14 AM ::1 Returned 200 in 2 ms
 HTTP  6/19/2026 1:27:14 AM ::1 GET /css/styles.css
 HTTP  6/19/2026 1:27:14 AM ::1 Returned 304 in 1 ms
 HTTP  6/19/2026 1:27:15 AM ::1 GET /audiences/corporate-teams.html
 HTTP  6/19/2026 1:27:15 AM ::1 Returned 301 in 0 ms
 HTTP  6/19/2026 1:27:15 AM ::1 GET /audiences/corporate-teams
 HTTP  6/19/2026 1:27:15 AM ::1 Returned 200 in 2 ms
 HTTP  6/19/2026 1:27:15 AM ::1 GET /css/styles.css
 HTTP  6/19/2026 1:27:15 AM ::1 Returned 304 in 1 ms
 HTTP  6/19/2026 1:27:16 AM ::1 GET /blog/index.html
 HTTP  6/19/2026 1:27:16 AM ::1 Returned 301 in 1 ms
 HTTP  6/19/2026 1:27:16 AM ::1 GET /blog/index
 HTTP  6/19/2026 1:27:16 AM ::1 Returned 301 in 1 ms
 HTTP  6/19/2026 1:27:16 AM ::1 GET /blog
 HTTP  6/19/2026 1:27:16 AM ::1 Returned 200 in 2 ms
 HTTP  6/19/2026 1:27:16 AM ::1 GET /css/styles.css
 HTTP  6/19/2026 1:27:16 AM ::1 Returned 304 in 1 ms
 HTTP  6/19/2026 1:27:17 AM ::1 GET /blog/ownership-mindset.html
 HTTP  6/19/2026 1:27:17 AM ::1 Returned 301 in 1 ms
 HTTP  6/19/2026 1:27:17 AM ::1 GET /blog/ownership-mindset
 HTTP  6/19/2026 1:27:17 AM ::1 Returned 200 in 3 ms
 HTTP  6/19/2026 1:27:17 AM ::1 GET /css/styles.css
 HTTP  6/19/2026 1:27:17 AM ::1 Returned 304 in 1 ms
